127.0.0.1, 2014-02-17 21:40:01, GET, /user/login, HTTP/1.1, 200, 0.119000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/css/calendar.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.043000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/css/default.css, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/css/fullcalendar.css, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/js/calendar.js, HTTP/1.1, 200, 0.072000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/js/fullcalendar.min.js, HTTP/1.1, 200, 0.053000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/js/jquery.js, HTTP/1.1, 200, 0.077000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/js/jquery.tablesorter.min.js, HTTP/1.1, 200, 0.060000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/js/application.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/js/check_browser_close.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/css/print.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-02-17 21:40:01, GET, /booking/static/css/images/img4.gif, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-02-17 21:40:02, GET, /favicon.ico, HTTP/1.1, 200, 0.029000
127.0.0.1, 2014-02-17 21:40:44, POST, /user/login, HTTP/1.1, 303, 0.071000
127.0.0.1, 2014-02-17 21:40:44, GET, /user/login, HTTP/1.1, 200, 0.072000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin, HTTP/1.1, 200, 0.264000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.073000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.088000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.099000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-02-17 21:40:55, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.037000
127.0.0.1, 2014-02-17 21:41:05, POST, /admin, HTTP/1.1, 303, 0.071000
127.0.0.1, 2014-02-17 21:41:05, GET, /admin/site, HTTP/1.1, 200, 0.071000
127.0.0.1, 2014-02-17 21:41:05, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-02-17 21:41:05, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-02-17 21:41:05, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.024000
127.0.0.1, 2014-02-17 21:41:05, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2014-02-17 21:41:05, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.036000
